material,quantidade,estoque mínimo,categoria,corredor,armário,prateleira,observação
Produto 1029,1129,10,Cat9,A4,09,09,Item de teste 1029
Produto 1030,1130,10,Cat0,A0,10,00,Item de teste 1030
Produto 1031,1131,10,Cat1,A1,11,01,Item de teste 1031
Produto 1032,1132,10,Cat2,A2,12,02,Item de teste 1032
Produto 1033,1133,10,Cat3,A3,13,03,Item de teste 1033
Produto 1034,1134,10,Cat4,A4,14,04,Item de teste 1034
Produto 1035,1135,10,Cat5,A0,15,05,Item de teste 1035
Produto 1036,1136,10,Cat6,A1,16,06,Item de teste 1036
Produto 1037,1137,10,Cat7,A2,17,07,Item de teste 1037
Produto 1038,1138,10,Cat8,A3,18,08,Item de teste 1038
Produto 1039,1139,10,Cat9,A4,19,09,Item de teste 1039
Produto 1040,1140,10,Cat0,A0,00,00,Item de teste 1040
Produto 1041,1141,10,Cat1,A1,01,01,Item de teste 1041
Produto 1042,1142,10,Cat2,A2,02,02,Item de teste 1042
Produto 1043,1143,10,Cat3,A3,03,03,Item de teste 1043
Produto 1044,1144,10,Cat4,A4,04,04,Item de teste 1044
Produto 1045,1145,10,Cat5,A0,05,05,Item de teste 1045
Produto 1046,1146,10,Cat6,A1,06,06,Item de teste 1046
Produto 1047,1147,10,Cat7,A2,07,07,Item de teste 1047
Produto 1048,1148,10,Cat8,A3,08,08,Item de teste 1048
Produto 1049,1149,10,Cat9,A4,09,09,Item de teste 1049
Produto 1050,1150,10,Cat0,A0,10,00,Item de teste 1050
Produto 1051,1151,10,Cat1,A1,11,01,Item de teste 1051
Produto 1052,1152,10,Cat2,A2,12,02,Item de teste 1052
Produto 1053,1153,10,Cat3,A3,13,03,Item de teste 1053
Produto 1054,1154,10,Cat4,A4,14,04,Item de teste 1054
Produto 1055,1155,10,Cat5,A0,15,05,Item de teste 1055
Produto 1056,1156,10,Cat6,A1,16,06,Item de teste 1056
Produto 1057,1157,10,Cat7,A2,17,07,Item de teste 1057
Produto 1058,1158,10,Cat8,A3,18,08,Item de teste 1058
Produto 1059,1159,10,Cat9,A4,19,09,Item de teste 1059
Produto 1060,1160,10,Cat0,A0,00,00,Item de teste 1060
Produto 1061,1161,10,Cat1,A1,01,01,Item de teste 1061
Produto 1062,1162,10,Cat2,A2,02,02,Item de teste 1062
Produto 1063,1163,10,Cat3,A3,03,03,Item de teste 1063
Produto 1064,1164,10,Cat4,A4,04,04,Item de teste 1064
Produto 1065,1165,10,Cat5,A0,05,05,Item de teste 1065
Produto 1066,1166,10,Cat6,A1,06,06,Item de teste 1066
Produto 1067,1167,10,Cat7,A2,07,07,Item de teste 1067
Produto 1068,1168,10,Cat8,A3,08,08,Item de teste 1068
Produto 1069,1169,10,Cat9,A4,09,09,Item de teste 1069
Produto 1070,1170,10,Cat0,A0,10,00,Item de teste 1070
Produto 1071,1171,10,Cat1,A1,11,01,Item de teste 1071
Produto 1072,1172,10,Cat2,A2,12,02,Item de teste 1072
Produto 1073,1173,10,Cat3,A3,13,03,Item de teste 1073
Produto 1074,1174,10,Cat4,A4,14,04,Item de teste 1074
Produto 1075,1175,10,Cat5,A0,15,05,Item de teste 1075
Produto 1076,1176,10,Cat6,A1,16,06,Item de teste 1076
Produto 1077,1177,10,Cat7,A2,17,07,Item de teste 1077
Produto 1078,1178,10,Cat8,A3,18,08,Item de teste 1078
Produto 1079,1179,10,Cat9,A4,19,09,Item de teste 1079
Produto 1080,1180,10,Cat0,A0,00,00,Item de teste 1080
Produto 1081,1181,10,Cat1,A1,01,01,Item de teste 1081
Produto 1082,1182,10,Cat2,A2,02,02,Item de teste 1082
Produto 1083,1183,10,Cat3,A3,03,03,Item de teste 1083
Produto 1084,1184,10,Cat4,A4,04,04,Item de teste 1084
Produto 1085,1185,10,Cat5,A0,05,05,Item de teste 1085
Produto 1086,1186,10,Cat6,A1,06,06,Item de teste 1086
Produto 1087,1187,10,Cat7,A2,07,07,Item de teste 1087
Produto 1088,1188,10,Cat8,A3,08,08,Item de teste 1088
Produto 1089,1189,10,Cat9,A4,09,09,Item de teste 1089
Produto 1090,1190,10,Cat0,A0,10,00,Item de teste 1090
Produto 1091,1191,10,Cat1,A1,11,01,Item de teste 1091
Produto 1092,1192,10,Cat2,A2,12,02,Item de teste 1092
Produto 1093,1193,10,Cat3,A3,13,03,Item de teste 1093
Produto 1094,1194,10,Cat4,A4,14,04,Item de teste 1094
Produto 1095,1195,10,Cat5,A0,15,05,Item de teste 1095
Produto 1096,1196,10,Cat6,A1,16,06,Item de teste 1096
Produto 1097,1197,10,Cat7,A2,17,07,Item de teste 1097
Produto 1098,1198,10,Cat8,A3,18,08,Item de teste 1098
Produto 1099,1199,10,Cat9,A4,19,09,Item de teste 1099
Produto 1100,1200,10,Cat0,A0,00,00,Item de teste 1100
Produto 1101,1201,10,Cat1,A1,01,01,Item de teste 1101
Produto 1102,1202,10,Cat2,A2,02,02,Item de teste 1102
Produto 1103,1203,10,Cat3,A3,03,03,Item de teste 1103
Produto 1104,1204,10,Cat4,A4,04,04,Item de teste 1104
Produto 1105,1205,10,Cat5,A0,05,05,Item de teste 1105
Produto 1106,1206,10,Cat6,A1,06,06,Item de teste 1106
Produto 1107,1207,10,Cat7,A2,07,07,Item de teste 1107
Produto 1108,1208,10,Cat8,A3,08,08,Item de teste 1108
Produto 1109,1209,10,Cat9,A4,09,09,Item de teste 1109
Produto 1110,1210,10,Cat0,A0,10,00,Item de teste 1110
Produto 1111,1211,10,Cat1,A1,11,01,Item de teste 1111
Produto 1112,1212,10,Cat2,A2,12,02,Item de teste 1112
Produto 1113,1213,10,Cat3,A3,13,03,Item de teste 1113
Produto 1114,1214,10,Cat4,A4,14,04,Item de teste 1114
Produto 1115,1215,10,Cat5,A0,15,05,Item de teste 1115
Produto 1116,1216,10,Cat6,A1,16,06,Item de teste 1116
Produto 1117,1217,10,Cat7,A2,17,07,Item de teste 1117
Produto 1118,1218,10,Cat8,A3,18,08,Item de teste 1118
Produto 1119,1219,10,Cat9,A4,19,09,Item de teste 1119
Produto 1120,1220,10,Cat0,A0,00,00,Item de teste 1120
Produto 1121,1221,10,Cat1,A1,01,01,Item de teste 1121
Produto 1122,1222,10,Cat2,A2,02,02,Item de teste 1122
Produto 1123,1223,10,Cat3,A3,03,03,Item de teste 1123
Produto 1124,1224,10,Cat4,A4,04,04,Item de teste 1124
Produto 1125,1225,10,Cat5,A0,05,05,Item de teste 1125
Produto 1126,1226,10,Cat6,A1,06,06,Item de teste 1126
Produto 1127,1227,10,Cat7,A2,07,07,Item de teste 1127
Produto 1128,1228,10,Cat8,A3,08,08,Item de teste 1128
Produto 1129,1229,10,Cat9,A4,09,09,Item de teste 1129
Produto 1130,1230,10,Cat0,A0,10,00,Item de teste 1130
Produto 1131,1231,10,Cat1,A1,11,01,Item de teste 1131
Produto 1132,1232,10,Cat2,A2,12,02,Item de teste 1132
Produto 1133,1233,10,Cat3,A3,13,03,Item de teste 1133
Produto 1134,1234,10,Cat4,A4,14,04,Item de teste 1134
Produto 1135,1235,10,Cat5,A0,15,05,Item de teste 1135
Produto 1136,1236,10,Cat6,A1,16,06,Item de teste 1136
Produto 1137,1237,10,Cat7,A2,17,07,Item de teste 1137
Produto 1138,1238,10,Cat8,A3,18,08,Item de teste 1138
Produto 1139,1239,10,Cat9,A4,19,09,Item de teste 1139
Produto 1140,1240,10,Cat0,A0,00,00,Item de teste 1140
Produto 1141,1241,10,Cat1,A1,01,01,Item de teste 1141
Produto 1142,1242,10,Cat2,A2,02,02,Item de teste 1142
Produto 1143,1243,10,Cat3,A3,03,03,Item de teste 1143
Produto 1144,1244,10,Cat4,A4,04,04,Item de teste 1144
Produto 1145,1245,10,Cat5,A0,05,05,Item de teste 1145
Produto 1146,1246,10,Cat6,A1,06,06,Item de teste 1146
Produto 1147,1247,10,Cat7,A2,07,07,Item de teste 1147
Produto 1148,1248,10,Cat8,A3,08,08,Item de teste 1148
Produto 1149,1249,10,Cat9,A4,09,09,Item de teste 1149
Produto 1150,1250,10,Cat0,A0,10,00,Item de teste 1150
Produto 1151,1251,10,Cat1,A1,11,01,Item de teste 1151
Produto 1152,1252,10,Cat2,A2,12,02,Item de teste 1152
Produto 1153,1253,10,Cat3,A3,13,03,Item de teste 1153
Produto 1154,1254,10,Cat4,A4,14,04,Item de teste 1154
Produto 1155,1255,10,Cat5,A0,15,05,Item de teste 1155
Produto 1156,1256,10,Cat6,A1,16,06,Item de teste 1156
Produto 1157,1257,10,Cat7,A2,17,07,Item de teste 1157
Produto 1158,1258,10,Cat8,A3,18,08,Item de teste 1158
Produto 1159,1259,10,Cat9,A4,19,09,Item de teste 1159
Produto 1160,1260,10,Cat0,A0,00,00,Item de teste 1160
Produto 1161,1261,10,Cat1,A1,01,01,Item de teste 1161
Produto 1162,1262,10,Cat2,A2,02,02,Item de teste 1162
Produto 1163,1263,10,Cat3,A3,03,03,Item de teste 1163
Produto 1164,1264,10,Cat4,A4,04,04,Item de teste 1164
Produto 1165,1265,10,Cat5,A0,05,05,Item de teste 1165
Produto 1166,1266,10,Cat6,A1,06,06,Item de teste 1166
Produto 1167,1267,10,Cat7,A2,07,07,Item de teste 1167
Produto 1168,1268,10,Cat8,A3,08,08,Item de teste 1168
Produto 1169,1269,10,Cat9,A4,09,09,Item de teste 1169
Produto 1170,1270,10,Cat0,A0,10,00,Item de teste 1170
Produto 1171,1271,10,Cat1,A1,11,01,Item de teste 1171
Produto 1172,1272,10,Cat2,A2,12,02,Item de teste 1172
Produto 1173,1273,10,Cat3,A3,13,03,Item de teste 1173
Produto 1174,1274,10,Cat4,A4,14,04,Item de teste 1174
Produto 1175,1275,10,Cat5,A0,15,05,Item de teste 1175
Produto 1176,1276,10,Cat6,A1,16,06,Item de teste 1176
Produto 1177,1277,10,Cat7,A2,17,07,Item de teste 1177
Produto 1178,1278,10,Cat8,A3,18,08,Item de teste 1178
Produto 1179,1279,10,Cat9,A4,19,09,Item de teste 1179
Produto 1180,1280,10,Cat0,A0,00,00,Item de teste 1180
Produto 1181,1281,10,Cat1,A1,01,01,Item de teste 1181
Produto 1182,1282,10,Cat2,A2,02,02,Item de teste 1182
Produto 1183,1283,10,Cat3,A3,03,03,Item de teste 1183
Produto 1184,1284,10,Cat4,A4,04,04,Item de teste 1184
Produto 1185,1285,10,Cat5,A0,05,05,Item de teste 1185
Produto 1186,1286,10,Cat6,A1,06,06,Item de teste 1186
Produto 1187,1287,10,Cat7,A2,07,07,Item de teste 1187
Produto 1188,1288,10,Cat8,A3,08,08,Item de teste 1188
Produto 1189,1289,10,Cat9,A4,09,09,Item de teste 1189
Produto 1190,1290,10,Cat0,A0,10,00,Item de teste 1190
Produto 1191,1291,10,Cat1,A1,11,01,Item de teste 1191
Produto 1192,1292,10,Cat2,A2,12,02,Item de teste 1192
Produto 1193,1293,10,Cat3,A3,13,03,Item de teste 1193
Produto 1194,1294,10,Cat4,A4,14,04,Item de teste 1194
Produto 1195,1295,10,Cat5,A0,15,05,Item de teste 1195
Produto 1196,1296,10,Cat6,A1,16,06,Item de teste 1196
Produto 1197,1297,10,Cat7,A2,17,07,Item de teste 1197
Produto 1198,1298,10,Cat8,A3,18,08,Item de teste 1198
Produto 1199,1299,10,Cat9,A4,19,09,Item de teste 1199
Produto 1200,1300,10,Cat0,A0,00,00,Item de teste 1200
Produto 1201,1301,10,Cat1,A1,01,01,Item de teste 1201
Produto 1202,1302,10,Cat2,A2,02,02,Item de teste 1202
Produto 1203,1303,10,Cat3,A3,03,03,Item de teste 1203
Produto 1204,1304,10,Cat4,A4,04,04,Item de teste 1204
Produto 1205,1305,10,Cat5,A0,05,05,Item de teste 1205
Produto 1206,1306,10,Cat6,A1,06,06,Item de teste 1206
Produto 1207,1307,10,Cat7,A2,07,07,Item de teste 1207
Produto 1208,1308,10,Cat8,A3,08,08,Item de teste 1208
Produto 1209,1309,10,Cat9,A4,09,09,Item de teste 1209
Produto 1210,1310,10,Cat0,A0,10,00,Item de teste 1210
Produto 1211,1311,10,Cat1,A1,11,01,Item de teste 1211
Produto 1212,1312,10,Cat2,A2,12,02,Item de teste 1212
Produto 1213,1313,10,Cat3,A3,13,03,Item de teste 1213
Produto 1214,1314,10,Cat4,A4,14,04,Item de teste 1214
Produto 1215,1315,10,Cat5,A0,15,05,Item de teste 1215
Produto 1216,1316,10,Cat6,A1,16,06,Item de teste 1216
Produto 1217,1317,10,Cat7,A2,17,07,Item de teste 1217
Produto 1218,1318,10,Cat8,A3,18,08,Item de teste 1218
Produto 1219,1319,10,Cat9,A4,19,09,Item de teste 1219
Produto 1220,1320,10,Cat0,A0,00,00,Item de teste 1220
Produto 1221,1321,10,Cat1,A1,01,01,Item de teste 1221
Produto 1222,1322,10,Cat2,A2,02,02,Item de teste 1222
Produto 1223,1323,10,Cat3,A3,03,03,Item de teste 1223
Produto 1224,1324,10,Cat4,A4,04,04,Item de teste 1224
Produto 1225,1325,10,Cat5,A0,05,05,Item de teste 1225
Produto 1226,1326,10,Cat6,A1,06,06,Item de teste 1226
Produto 1227,1327,10,Cat7,A2,07,07,Item de teste 1227
Produto 1228,1328,10,Cat8,A3,08,08,Item de teste 1228
Produto 1229,1329,10,Cat9,A4,09,09,Item de teste 1229
Produto 1230,1330,10,Cat0,A0,10,00,Item de teste 1230
Produto 1231,1331,10,Cat1,A1,11,01,Item de teste 1231
Produto 1232,1332,10,Cat2,A2,12,02,Item de teste 1232
Produto 1233,1333,10,Cat3,A3,13,03,Item de teste 1233
Produto 1234,1334,10,Cat4,A4,14,04,Item de teste 1234
Produto 1235,1335,10,Cat5,A0,15,05,Item de teste 1235
Produto 1236,1336,10,Cat6,A1,16,06,Item de teste 1236
Produto 1237,1337,10,Cat7,A2,17,07,Item de teste 1237
Produto 1238,1338,10,Cat8,A3,18,08,Item de teste 1238
Produto 1239,1339,10,Cat9,A4,19,09,Item de teste 1239
Produto 1240,1340,10,Cat0,A0,00,00,Item de teste 1240
Produto 1241,1341,10,Cat1,A1,01,01,Item de teste 1241
Produto 1242,1342,10,Cat2,A2,02,02,Item de teste 1242
Produto 1243,1343,10,Cat3,A3,03,03,Item de teste 1243
Produto 1244,1344,10,Cat4,A4,04,04,Item de teste 1244
Produto 1245,1345,10,Cat5,A0,05,05,Item de teste 1245
Produto 1246,1346,10,Cat6,A1,06,06,Item de teste 1246
Produto 1247,1347,10,Cat7,A2,07,07,Item de teste 1247
Produto 1248,1348,10,Cat8,A3,08,08,Item de teste 1248
Produto 1249,1349,10,Cat9,A4,09,09,Item de teste 1249
Produto 1250,1350,10,Cat0,A0,10,00,Item de teste 1250
Produto 1251,1351,10,Cat1,A1,11,01,Item de teste 1251
Produto 1252,1352,10,Cat2,A2,12,02,Item de teste 1252
Produto 1253,1353,10,Cat3,A3,13,03,Item de teste 1253
Produto 1254,1354,10,Cat4,A4,14,04,Item de teste 1254
Produto 1255,1355,10,Cat5,A0,15,05,Item de teste 1255
Produto 1256,1356,10,Cat6,A1,16,06,Item de teste 1256
Produto 1257,1357,10,Cat7,A2,17,07,Item de teste 1257
Produto 1258,1358,10,Cat8,A3,18,08,Item de teste 1258
Produto 1259,1359,10,Cat9,A4,19,09,Item de teste 1259
Produto 1260,1360,10,Cat0,A0,00,00,Item de teste 1260
Produto 1261,1361,10,Cat1,A1,01,01,Item de teste 1261
Produto 1262,1362,10,Cat2,A2,02,02,Item de teste 1262
Produto 1263,1363,10,Cat3,A3,03,03,Item de teste 1263
Produto 1264,1364,10,Cat4,A4,04,04,Item de teste 1264
Produto 1265,1365,10,Cat5,A0,05,05,Item de teste 1265
Produto 1266,1366,10,Cat6,A1,06,06,Item de teste 1266
Produto 1267,1367,10,Cat7,A2,07,07,Item de teste 1267
Produto 1268,1368,10,Cat8,A3,08,08,Item de teste 1268
Produto 1269,1369,10,Cat9,A4,09,09,Item de teste 1269
Produto 1270,1370,10,Cat0,A0,10,00,Item de teste 1270
Produto 1271,1371,10,Cat1,A1,11,01,Item de teste 1271
Produto 1272,1372,10,Cat2,A2,12,02,Item de teste 1272
Produto 1273,1373,10,Cat3,A3,13,03,Item de teste 1273
Produto 1274,1374,10,Cat4,A4,14,04,Item de teste 1274
Produto 1275,1375,10,Cat5,A0,15,05,Item de teste 1275
Produto 1276,1376,10,Cat6,A1,16,06,Item de teste 1276
Produto 1277,1377,10,Cat7,A2,17,07,Item de teste 1277
Produto 1278,1378,10,Cat8,A3,18,08,Item de teste 1278
Produto 1279,1379,10,Cat9,A4,19,09,Item de teste 1279
Produto 1280,1380,10,Cat0,A0,00,00,Item de teste 1280
Produto 1281,1381,10,Cat1,A1,01,01,Item de teste 1281
Produto 1282,1382,10,Cat2,A2,02,02,Item de teste 1282
Produto 1283,1383,10,Cat3,A3,03,03,Item de teste 1283
Produto 1284,1384,10,Cat4,A4,04,04,Item de teste 1284
Produto 1285,1385,10,Cat5,A0,05,05,Item de teste 1285
Produto 1286,1386,10,Cat6,A1,06,06,Item de teste 1286
Produto 1287,1387,10,Cat7,A2,07,07,Item de teste 1287
Produto 1288,1388,10,Cat8,A3,08,08,Item de teste 1288
Produto 1289,1389,10,Cat9,A4,09,09,Item de teste 1289
Produto 1290,1390,10,Cat0,A0,10,00,Item de teste 1290
Produto 1291,1391,10,Cat1,A1,11,01,Item de teste 1291
Produto 1292,1392,10,Cat2,A2,12,02,Item de teste 1292
Produto 1293,1393,10,Cat3,A3,13,03,Item de teste 1293
Produto 1294,1394,10,Cat4,A4,14,04,Item de teste 1294
Produto 1295,1395,10,Cat5,A0,15,05,Item de teste 1295
Produto 1296,1396,10,Cat6,A1,16,06,Item de teste 1296
Produto 1297,1397,10,Cat7,A2,17,07,Item de teste 1297
Produto 1298,1398,10,Cat8,A3,18,08,Item de teste 1298
Produto 1299,1399,10,Cat9,A4,19,09,Item de teste 1299
Produto 1300,1400,10,Cat0,A0,00,00,Item de teste 1300
Produto 1301,1401,10,Cat1,A1,01,01,Item de teste 1301
Produto 1302,1402,10,Cat2,A2,02,02,Item de teste 1302
Produto 1303,1403,10,Cat3,A3,03,03,Item de teste 1303
Produto 1304,1404,10,Cat4,A4,04,04,Item de teste 1304
Produto 1305,1405,10,Cat5,A0,05,05,Item de teste 1305
Produto 1306,1406,10,Cat6,A1,06,06,Item de teste 1306
Produto 1307,1407,10,Cat7,A2,07,07,Item de teste 1307
Produto 1308,1408,10,Cat8,A3,08,08,Item de teste 1308
Produto 1309,1409,10,Cat9,A4,09,09,Item de teste 1309
Produto 1310,1410,10,Cat0,A0,10,00,Item de teste 1310
Produto 1311,1411,10,Cat1,A1,11,01,Item de teste 1311
Produto 1312,1412,10,Cat2,A2,12,02,Item de teste 1312
Produto 1313,1413,10,Cat3,A3,13,03,Item de teste 1313
Produto 1314,1414,10,Cat4,A4,14,04,Item de teste 1314
Produto 1315,1415,10,Cat5,A0,15,05,Item de teste 1315
Produto 1316,1416,10,Cat6,A1,16,06,Item de teste 1316
Produto 1317,1417,10,Cat7,A2,17,07,Item de teste 1317
Produto 1318,1418,10,Cat8,A3,18,08,Item de teste 1318
Produto 1319,1419,10,Cat9,A4,19,09,Item de teste 1319
Produto 1320,1420,10,Cat0,A0,00,00,Item de teste 1320
Produto 1321,1421,10,Cat1,A1,01,01,Item de teste 1321
Produto 1322,1422,10,Cat2,A2,02,02,Item de teste 1322
Produto 1323,1423,10,Cat3,A3,03,03,Item de teste 1323
Produto 1324,1424,10,Cat4,A4,04,04,Item de teste 1324
Produto 1325,1425,10,Cat5,A0,05,05,Item de teste 1325
Produto 1326,1426,10,Cat6,A1,06,06,Item de teste 1326
Produto 1327,1427,10,Cat7,A2,07,07,Item de teste 1327
Produto 1328,1428,10,Cat8,A3,08,08,Item de teste 1328
Produto 1329,1429,10,Cat9,A4,09,09,Item de teste 1329
Produto 1330,1430,10,Cat0,A0,10,00,Item de teste 1330
Produto 1331,1431,10,Cat1,A1,11,01,Item de teste 1331
Produto 1332,1432,10,Cat2,A2,12,02,Item de teste 1332
Produto 1333,1433,10,Cat3,A3,13,03,Item de teste 1333
Produto 1334,1434,10,Cat4,A4,14,04,Item de teste 1334
Produto 1335,1435,10,Cat5,A0,15,05,Item de teste 1335
Produto 1336,1436,10,Cat6,A1,16,06,Item de teste 1336
Produto 1337,1437,10,Cat7,A2,17,07,Item de teste 1337
Produto 1338,1438,10,Cat8,A3,18,08,Item de teste 1338
Produto 1339,1439,10,Cat9,A4,19,09,Item de teste 1339
Produto 1340,1440,10,Cat0,A0,00,00,Item de teste 1340
Produto 1341,1441,10,Cat1,A1,01,01,Item de teste 1341
Produto 1342,1442,10,Cat2,A2,02,02,Item de teste 1342
Produto 1343,1443,10,Cat3,A3,03,03,Item de teste 1343
Produto 1344,1444,10,Cat4,A4,04,04,Item de teste 1344
Produto 1345,1445,10,Cat5,A0,05,05,Item de teste 1345
Produto 1346,1446,10,Cat6,A1,06,06,Item de teste 1346
Produto 1347,1447,10,Cat7,A2,07,07,Item de teste 1347
Produto 1348,1448,10,Cat8,A3,08,08,Item de teste 1348
Produto 1349,1449,10,Cat9,A4,09,09,Item de teste 1349
Produto 1350,1450,10,Cat0,A0,10,00,Item de teste 1350
Produto 1351,1451,10,Cat1,A1,11,01,Item de teste 1351
Produto 1352,1452,10,Cat2,A2,12,02,Item de teste 1352
Produto 1353,1453,10,Cat3,A3,13,03,Item de teste 1353
Produto 1354,1454,10,Cat4,A4,14,04,Item de teste 1354
Produto 1355,1455,10,Cat5,A0,15,05,Item de teste 1355
Produto 1356,1456,10,Cat6,A1,16,06,Item de teste 1356
Produto 1357,1457,10,Cat7,A2,17,07,Item de teste 1357
Produto 1358,1458,10,Cat8,A3,18,08,Item de teste 1358
Produto 1359,1459,10,Cat9,A4,19,09,Item de teste 1359
Produto 1360,1460,10,Cat0,A0,00,00,Item de teste 1360
Produto 1361,1461,10,Cat1,A1,01,01,Item de teste 1361
Produto 1362,1462,10,Cat2,A2,02,02,Item de teste 1362
Produto 1363,1463,10,Cat3,A3,03,03,Item de teste 1363
Produto 1364,1464,10,Cat4,A4,04,04,Item de teste 1364
Produto 1365,1465,10,Cat5,A0,05,05,Item de teste 1365
Produto 1366,1466,10,Cat6,A1,06,06,Item de teste 1366
Produto 1367,1467,10,Cat7,A2,07,07,Item de teste 1367
Produto 1368,1468,10,Cat8,A3,08,08,Item de teste 1368
Produto 1369,1469,10,Cat9,A4,09,09,Item de teste 1369
Produto 1370,1470,10,Cat0,A0,10,00,Item de teste 1370
Produto 1371,1471,10,Cat1,A1,11,01,Item de teste 1371
Produto 1372,1472,10,Cat2,A2,12,02,Item de teste 1372
Produto 1373,1473,10,Cat3,A3,13,03,Item de teste 1373
Produto 1374,1474,10,Cat4,A4,14,04,Item de teste 1374
Produto 1375,1475,10,Cat5,A0,15,05,Item de teste 1375
Produto 1376,1476,10,Cat6,A1,16,06,Item de teste 1376
Produto 1377,1477,10,Cat7,A2,17,07,Item de teste 1377
Produto 1378,1478,10,Cat8,A3,18,08,Item de teste 1378
Produto 1379,1479,10,Cat9,A4,19,09,Item de teste 1379
Produto 1380,1480,10,Cat0,A0,00,00,Item de teste 1380
Produto 1381,1481,10,Cat1,A1,01,01,Item de teste 1381
Produto 1382,1482,10,Cat2,A2,02,02,Item de teste 1382
Produto 1383,1483,10,Cat3,A3,03,03,Item de teste 1383
Produto 1384,1484,10,Cat4,A4,04,04,Item de teste 1384
Produto 1385,1485,10,Cat5,A0,05,05,Item de teste 1385
Produto 1386,1486,10,Cat6,A1,06,06,Item de teste 1386
Produto 1387,1487,10,Cat7,A2,07,07,Item de teste 1387
Produto 1388,1488,10,Cat8,A3,08,08,Item de teste 1388
Produto 1389,1489,10,Cat9,A4,09,09,Item de teste 1389
Produto 1390,1490,10,Cat0,A0,10,00,Item de teste 1390
Produto 1391,1491,10,Cat1,A1,11,01,Item de teste 1391
Produto 1392,1492,10,Cat2,A2,12,02,Item de teste 1392
Produto 1393,1493,10,Cat3,A3,13,03,Item de teste 1393
Produto 1394,1494,10,Cat4,A4,14,04,Item de teste 1394
Produto 1395,1495,10,Cat5,A0,15,05,Item de teste 1395
Produto 1396,1496,10,Cat6,A1,16,06,Item de teste 1396
Produto 1397,1497,10,Cat7,A2,17,07,Item de teste 1397
Produto 1398,1498,10,Cat8,A3,18,08,Item de teste 1398
Produto 1399,1499,10,Cat9,A4,19,09,Item de teste 1399
Produto 1400,1500,10,Cat0,A0,00,00,Item de teste 1400
Produto 1401,1501,10,Cat1,A1,01,01,Item de teste 1401
Produto 1402,1502,10,Cat2,A2,02,02,Item de teste 1402
Produto 1403,1503,10,Cat3,A3,03,03,Item de teste 1403
Produto 1404,1504,10,Cat4,A4,04,04,Item de teste 1404
Produto 1405,1505,10,Cat5,A0,05,05,Item de teste 1405
Produto 1406,1506,10,Cat6,A1,06,06,Item de teste 1406
Produto 1407,1507,10,Cat7,A2,07,07,Item de teste 1407
Produto 1408,1508,10,Cat8,A3,08,08,Item de teste 1408
Produto 1409,1509,10,Cat9,A4,09,09,Item de teste 1409
Produto 1410,1510,10,Cat0,A0,10,00,Item de teste 1410
Produto 1411,1511,10,Cat1,A1,11,01,Item de teste 1411
Produto 1412,1512,10,Cat2,A2,12,02,Item de teste 1412
Produto 1413,1513,10,Cat3,A3,13,03,Item de teste 1413
Produto 1414,1514,10,Cat4,A4,14,04,Item de teste 1414
Produto 1415,1515,10,Cat5,A0,15,05,Item de teste 1415
Produto 1416,1516,10,Cat6,A1,16,06,Item de teste 1416
Produto 1417,1517,10,Cat7,A2,17,07,Item de teste 1417
Produto 1418,1518,10,Cat8,A3,18,08,Item de teste 1418
Produto 1419,1519,10,Cat9,A4,19,09,Item de teste 1419
Produto 1420,1520,10,Cat0,A0,00,00,Item de teste 1420
Produto 1421,1521,10,Cat1,A1,01,01,Item de teste 1421
Produto 1422,1522,10,Cat2,A2,02,02,Item de teste 1422
Produto 1423,1523,10,Cat3,A3,03,03,Item de teste 1423
Produto 1424,1524,10,Cat4,A4,04,04,Item de teste 1424
Produto 1425,1525,10,Cat5,A0,05,05,Item de teste 1425
Produto 1426,1526,10,Cat6,A1,06,06,Item de teste 1426
Produto 1427,1527,10,Cat7,A2,07,07,Item de teste 1427
Produto 1428,1528,10,Cat8,A3,08,08,Item de teste 1428
Produto 1429,1529,10,Cat9,A4,09,09,Item de teste 1429
Produto 1430,1530,10,Cat0,A0,10,00,Item de teste 1430
Produto 1431,1531,10,Cat1,A1,11,01,Item de teste 1431
Produto 1432,1532,10,Cat2,A2,12,02,Item de teste 1432
Produto 1433,1533,10,Cat3,A3,13,03,Item de teste 1433
Produto 1434,1534,10,Cat4,A4,14,04,Item de teste 1434
Produto 1435,1535,10,Cat5,A0,15,05,Item de teste 1435
Produto 1436,1536,10,Cat6,A1,16,06,Item de teste 1436
Produto 1437,1537,10,Cat7,A2,17,07,Item de teste 1437
Produto 1438,1538,10,Cat8,A3,18,08,Item de teste 1438
Produto 1439,1539,10,Cat9,A4,19,09,Item de teste 1439
Produto 1440,1540,10,Cat0,A0,00,00,Item de teste 1440
Produto 1441,1541,10,Cat1,A1,01,01,Item de teste 1441
Produto 1442,1542,10,Cat2,A2,02,02,Item de teste 1442
Produto 1443,1543,10,Cat3,A3,03,03,Item de teste 1443
Produto 1444,1544,10,Cat4,A4,04,04,Item de teste 1444
Produto 1445,1545,10,Cat5,A0,05,05,Item de teste 1445
Produto 1446,1546,10,Cat6,A1,06,06,Item de teste 1446
Produto 1447,1547,10,Cat7,A2,07,07,Item de teste 1447
Produto 1448,1548,10,Cat8,A3,08,08,Item de teste 1448
Produto 1449,1549,10,Cat9,A4,09,09,Item de teste 1449
Produto 1450,1550,10,Cat0,A0,10,00,Item de teste 1450
Produto 1451,1551,10,Cat1,A1,11,01,Item de teste 1451
